month_year,db_a
June 2014,71.95
July 2014,73.33119266055046
August 2014,73.4100185528757
September 2014,72.66233766233766
October 2014,72.90778443113773
November 2014,73.13301662707839
December 2014,74.13389121338912
January 2015,74.91078066914498
February 2015,75.19202363367799
March 2015,74.53093812375249
April 2015,73.87314285714285
May 2015,73.03869407496977
June 2015,74.50582750582751
July 2015,73.37555886736214
August 2015,73.0604467805519
September 2015,74.06834532374101
October 2015,73.16909871244636
November 2015,73.58986175115207
December 2015,72.0
January 2016,71.69206842923795
February 2016,73.76063829787235
March 2016,73.31688311688312
April 2016,72.11979166666667
May 2016,71.73213046495489
June 2016,71.40324763193505
July 2016,71.48936170212765
August 2016,70.97843665768194
September 2016,71.69506292352372
October 2016,71.70396877033181
November 2016,72.3969010727056
December 2016,71.45680628272251
January 2017,72.17400204708291
February 2017,73.08706467661692
March 2017,69.93493150684931
April 2017,70.00395256916995
May 2017,70.13440860215054
June 2017,69.81776239907728
July 2017,69.90384615384616
August 2017,70.04015837104072
September 2017,70.55074257425743
October 2017,71.99636363636364
November 2017,70.06406685236769
December 2017,70.89398734177215
January 2018,70.8048780487805
February 2018,71.04832713754647
March 2018,71.19127023050515
April 2018,70.38461538461539
May 2018,69.84627329192547
June 2018,69.74514877102199
July 2018,69.20351302241066
August 2018,69.93639254884144
September 2018,69.79623221837755
October 2018,69.88343227199137
November 2018,70.3603448275862
December 2018,70.82464096749811
January 2019,69.61355081555834
February 2019,69.45194986072423
March 2019,69.99450117831893
April 2019,69.81269841269841
May 2019,70.14840637450199
June 2019,69.46081632653062
July 2019,69.00288778877888
August 2019,69.20165289256198
September 2019,69.47840103159253
October 2019,69.80488997555013
November 2019,70.2152704135737
December 2019,70.15056179775281
January 2020,69.78299120234604
February 2020,71.12747252747253
March 2020,70.66346153846153
April 2020,70.18531889290011
May 2020,69.28897338403041
June 2020,69.14084507042253
July 2020,68.05790645879733
August 2020,67.84884792626728
September 2020,68.28571428571429
October 2020,68.7686658506732
November 2020,69.45934959349593
December 2020,69.69571045576407
January 2021,68.96538936959209
February 2021,69.54090150250417
March 2021,69.27754532775454
April 2021,69.236820083682
May 2021,69.82285714285715
June 2021,68.44545454545455
July 2021,68.26501547987615
August 2021,68.82224645583425
September 2021,68.68074324324324
October 2021,69.39809134287663
November 2021,69.25561187545257
December 2021,69.36539792387543
January 2022,69.3361581920904
February 2022,69.61716171617162
March 2022,69.16408668730651
April 2022,69.44800950683303
May 2022,68.77104722792608
June 2022,68.83333333333333
July 2022,68.9320339830085
August 2022,68.33099209833188
September 2022,69.76324689966178
October 2022,70.24873463485177
November 2022,69.6411149825784
December 2022,69.33613817537643
January 2023,69.1917808219178
February 2023,70.12718378756115
March 2023,70.34131736526946
April 2023,70.37377508166122
May 2023,69.75865860362836
June 2023,68.98420373952288
July 2023,70.09142857142857
August 2023,67.74850299401197
September 2023,65.33835845896148
October 2023,66.39365671641791
November 2023,67.40445859872611
December 2023,66.69036697247707
January 2024,67.13
February 2024,66.71608040201005
March 2024,66.52878179384203
April 2024,66.54016620498615
May 2024,65.71762589928058
June 2024,66.1635687732342
July 2024,65.6258234519104
August 2024,65.88412514484357
September 2024,65.80819529206626
October 2024,65.79038047379755
November 2024,65.52857142857142
December 2024,66.69578783151326
