month_year,db_a
January 2012,67.46293604651163
February 2012,66.37034980566352
March 2012,66.71165644171779
April 2012,67.33962264150944
May 2012,66.93535975375144
June 2012,67.82375
July 2012,67.1143335192415
August 2012,66.75886214442014
September 2012,67.2241238793806
October 2012,67.1686316541622
November 2012,66.51196172248804
December 2012,66.64264705882353
January 2013,66.11923454367026
February 2013,66.31176900584795
March 2013,66.38252020353188
April 2013,66.7278854254423
May 2013,66.73690696241528
June 2013,66.09252669039147
July 2013,65.81162859685553
August 2013,66.57810650887573
September 2013,66.53732106339469
October 2013,67.10032362459548
November 2013,66.6235741444867
December 2013,66.33769063180829
January 2014,67.10374891020052
February 2014,67.47099447513813
March 2014,65.60469765117442
April 2014,65.77311773623042
May 2014,66.20738974970203
June 2014,66.15207373271889
July 2014,66.06205673758865
August 2014,66.67431693989072
September 2014,66.48768622681666
October 2014,66.77177006260672
November 2014,67.0376569037657
December 2014,66.19602272727273
January 2015,66.7767253044655
February 2015,66.42057877813505
March 2015,66.16897081413211
April 2015,65.17069980379333
May 2015,65.37118822292324
June 2015,64.91819699499165
November 2015,70.52
December 2015,66.05023923444976
January 2016,67.012470771629
February 2016,67.09013605442176
March 2016,66.03466666666667
April 2016,73.89723320158103
May 2016,74.35714285714286
June 2016,66.71153846153847
July 2016,65.78794642857143
August 2016,66.37046632124353
September 2016,66.59236744343127
October 2016,67.20005058168942
November 2016,66.93801057184046
December 2016,66.261815920398
January 2017,66.0818296265212
February 2017,67.15692554043234
March 2017,66.63696537678207
April 2017,67.07427341227125
May 2017,66.78605692356892
June 2017,66.61938872970391
July 2017,66.50318979266348
August 2017,66.44583125312032
September 2017,66.7043813192104
October 2017,65.71219512195123
November 2017,66.91428571428571
December 2017,67.40405616224649
January 2018,66.95890410958904
February 2018,66.53715865883166
March 2018,66.85908183632735
April 2018,66.48003472222223
May 2018,66.47400393067714
June 2018,66.46734748723462
July 2018,66.04493464052288
August 2018,66.33145161290322
September 2018,66.75292307692308
October 2018,67.22708039492242
November 2018,67.40828402366864
December 2018,67.16285881663738
January 2019,66.87567567567568
February 2019,66.33744010951403
March 2019,66.7197016780609
April 2019,66.7098602956064
May 2019,66.99855699855699
June 2019,66.66229303342705
July 2019,66.72697606961566
August 2019,66.38344433872503
September 2019,66.9342492639843
October 2019,67.40703091910207
November 2019,67.10292193632796
December 2019,67.08071428571428
January 2020,66.36119402985075
February 2020,66.80919540229885
March 2020,66.39236641221375
April 2020,64.52479338842976
May 2020,63.8
June 2020,63.66315789473684
July 2020,64.86009174311927
August 2020,64.78189300411523
September 2020,64.83937823834196
October 2020,65.66011235955057
November 2020,64.34615384615384
December 2020,64.51652892561984
January 2021,63.4014598540146
February 2021,63.54187192118226
March 2021,64.16260162601625
April 2021,63.70935960591133
May 2021,65.32608695652173
June 2021,65.1529605263158
July 2021,65.7763923524522
August 2021,66.3921568627451
September 2021,66.29584775086505
October 2021,66.75116279069768
November 2021,66.65979381443299
December 2021,66.03707518022657
January 2022,66.03030303030303
February 2022,66.18816067653277
March 2022,65.84170131116086
April 2022,66.24077976817703
May 2022,66.36141975308642
June 2022,66.48271391529819
July 2022,66.35024820739106
August 2022,65.92237163814181
September 2022,66.80446927374301
October 2022,67.33865371269951
November 2022,67.0925925925926
December 2022,66.4621435594887
January 2023,66.04568527918782
February 2023,66.40743034055727
March 2023,66.5832147937411
April 2023,66.87931623931624
May 2023,65.79184549356223
June 2023,66.01739899734592
July 2023,67.15428571428572
August 2023,67.171826625387
September 2023,66.6500445235975
October 2023,67.60088888888889
November 2023,68.01554404145078
December 2023,64.0
January 2024,80.0
February 2024,76.0
March 2024,61.0
July 2024,66.29959514170041
August 2024,66.51123287671233
September 2024,66.64277588168373
October 2024,67.26283662477559
November 2024,66.08789386401327
