month_year,db_a
October 2012,74.0
November 2012,68.45756457564576
December 2012,67.65894736842105
January 2013,67.0211013896037
February 2013,67.15525626636737
March 2013,67.44122807017544
April 2013,67.57223919685727
May 2013,67.33000665335994
June 2013,66.84464627151051
July 2013,66.61783617556611
August 2013,67.06797966963151
September 2013,67.43318485523385
October 2013,67.57962413452027
November 2013,67.27727856225931
December 2013,67.3913043478261
January 2014,67.98096304591266
February 2014,68.48
March 2014,67.21556256572029
April 2014,67.42567567567568
May 2014,67.3269654665687
June 2014,67.16686674669867
July 2014,67.32226078334159
August 2014,67.9709228824273
September 2014,67.68617385352498
October 2014,67.99795081967213
November 2014,68.37533156498674
December 2014,67.19346049046321
January 2015,67.13953488372093
February 2015,67.26129827444535
March 2015,67.21237113402061
April 2015,66.50195640022359
May 2015,66.76498127340824
June 2015,66.65024038461539
July 2015,66.24438902743142
August 2015,66.07271885132006
September 2015,66.98643867924528
October 2015,66.94638069705094
November 2015,67.08510638297872
December 2015,66.73818181818181
January 2016,66.74135876042908
February 2016,66.72754491017965
March 2016,66.803594351733
April 2016,66.88468930172967
May 2016,66.30085959885386
June 2016,66.46911649726349
July 2016,65.618
August 2016,65.84594953519256
September 2016,66.36709486166008
October 2016,67.23618090452261
November 2016,67.35535976505139
December 2016,66.67738478027867
January 2017,65.84489795918367
February 2017,67.14435695538057
March 2017,66.58939873417721
April 2017,66.3428345209818
May 2017,66.590625
June 2017,66.14960058097313
July 2017,65.95253863134658
August 2017,66.46639511201629
September 2017,66.96526867627784
October 2017,65.42105263157895
November 2017,67.31871345029239
December 2017,66.28571428571429
January 2018,67.5226480836237
February 2018,67.020572450805
March 2018,67.36896877956481
April 2018,66.7857528332434
May 2018,66.59564842740198
June 2018,66.36847323198943
July 2018,65.65293342122611
August 2018,66.01108764519536
September 2018,66.43402777777777
October 2018,66.79509301698572
November 2018,67.67818574514038
December 2018,67.7410394265233
January 2019,67.1926782273603
February 2019,66.80339321357286
March 2019,66.83543165467626
April 2019,66.61671388101983
May 2019,66.95688456189151
June 2019,66.2614267407091
July 2019,66.2289698605488
August 2019,65.92219387755102
September 2019,66.73074204946997
October 2019,68.11143867924528
November 2019,68.04137039431157
December 2019,68.3668903803132
January 2020,67.93462897526501
February 2020,68.78571428571429
March 2020,68.02341137123746
April 2020,65.51162790697674
May 2020,66.46428571428571
June 2020,66.54285714285714
July 2020,65.24545454545455
August 2020,65.20689655172414
September 2020,66.77297297297298
October 2020,67.42666666666666
November 2020,68.1953125
December 2020,67.8
January 2021,68.78378378378379
February 2021,71.16949152542372
March 2021,69.7936507936508
April 2021,66.64171122994652
May 2021,65.6774193548387
June 2021,62.716981132075475
July 2021,63.19924812030075
August 2021,63.12234042553192
September 2021,63.3773987206823
October 2021,65.14728682170542
November 2021,65.24817518248175
December 2021,65.18066157760815
January 2022,64.80459770114942
February 2022,65.29813664596273
March 2022,65.32304725168756
April 2022,65.3255620316403
May 2022,62.926337033299696
June 2022,63.45688350983359
July 2022,62.38066465256797
August 2022,63.84587813620072
September 2022,68.97687861271676
October 2022,67.41624365482234
November 2022,66.49666666666667
December 2022,68.62741312741312
January 2023,72.6943231441048
February 2023,71.15706806282722
March 2023,75.63636363636364
May 2023,74.46588693957115
June 2023,73.57401315789474
July 2023,67.43396226415095
August 2023,64.1584699453552
September 2023,64.02189781021897
October 2023,71.14925373134328
November 2023,74.06363636363636
January 2024,67.36842105263158
February 2024,71.23529411764706
March 2024,72.12107623318386
April 2024,73.01960784313725
May 2024,71.25
June 2024,72.60096153846153
July 2024,74.38372093023256
August 2024,73.4014598540146
September 2024,76.96678966789668
October 2024,73.8302752293578
November 2024,74.8099173553719
