month_year,db_a
July 2012,63.84782608695652
August 2012,65.23968705547652
September 2012,65.5258814703676
October 2012,65.8213866039953
November 2012,65.97238895558223
December 2012,65.2
January 2013,65.37709030100335
February 2013,65.52136752136752
March 2013,65.5171781951443
April 2013,66.0163666121113
May 2013,65.712715855573
June 2013,65.69539078156312
July 2013,65.39242105263158
August 2013,65.43721236028928
September 2013,65.3309232480534
October 2013,65.32036613272311
November 2013,65.58991825613079
December 2013,65.59107142857142
January 2014,65.46741344195519
February 2014,65.43886743886743
March 2014,65.81990189208129
April 2014,65.63937753721245
May 2014,65.90016547159404
June 2014,65.79915532613796
July 2014,65.33243243243243
August 2014,64.8717105263158
September 2014,65.06162464985995
October 2014,64.89285714285714
November 2014,65.25426944971537
December 2014,65.02422611036339
January 2015,65.32083333333334
February 2015,65.26981300089047
March 2015,66.04823369565217
April 2015,65.76400298730395
May 2015,65.35541629364369
June 2015,65.75075075075075
July 2015,65.06276595744681
August 2015,64.96621621621621
September 2015,65.62288786482335
October 2015,65.60606060606061
November 2015,64.63694267515923
December 2015,64.2438524590164
January 2016,64.61244019138756
February 2016,65.37362637362638
March 2016,65.5325
April 2016,65.71028037383178
May 2016,66.34743202416918
June 2016,66.2541993281075
July 2016,65.50508905852418
August 2016,65.28858024691358
September 2016,65.36663233779609
October 2016,65.34719535783366
November 2016,65.56166814551908
December 2016,64.47980997624703
January 2017,64.77472527472527
February 2017,65.26406533575317
March 2017,65.16763005780346
April 2017,65.83843717001056
May 2017,65.38244766505636
June 2017,64.96321070234114
July 2017,64.86569579288026
August 2017,64.8685927306617
September 2017,65.29285099052541
October 2017,65.17516629711751
November 2017,65.3082489146165
December 2017,64.853195164076
January 2018,65.08997722095673
February 2018,64.98637440758294
March 2018,65.07823392718822
April 2018,65.22708757637474
May 2018,65.19200371920037
June 2018,64.756006006006
July 2018,64.61275964391692
August 2018,64.77011494252874
September 2018,64.76806989674344
October 2018,64.96713021491783
November 2018,65.17827997489015
December 2018,65.19864864864864
January 2019,64.88951841359773
February 2019,64.73293768545994
March 2019,64.90318118948824
April 2019,65.09013333333333
May 2019,65.49916666666667
June 2019,64.86481802426343
July 2019,64.7831223628692
August 2019,64.42189281641961
September 2019,65.14241803278688
October 2019,65.13347236704901
November 2019,65.31224066390041
December 2019,65.04353393085788
January 2020,64.46026490066225
February 2020,64.79551820728291
March 2020,64.9297789336801
April 2020,64.6231884057971
May 2020,65.67353407290015
June 2020,65.11864406779661
July 2020,64.51538461538462
August 2020,63.79329608938548
September 2020,65.0420475319927
October 2020,65.17992424242425
November 2020,65.27731092436974
December 2020,65.00434782608696
January 2021,65.21344537815126
February 2021,64.94110275689223
March 2021,65.91322314049587
April 2021,65.70947630922693
May 2021,66.37603305785125
June 2021,64.94090909090909
July 2021,64.31875719217491
August 2021,64.73510971786834
September 2021,64.7090909090909
October 2021,65.05572289156626
November 2021,65.58069381598793
December 2021,65.60202360876897
January 2022,64.72594752186589
February 2022,65.3851590106007
March 2022,65.02791878172589
April 2022,65.19047619047619
October 2023,65.85343228200371
November 2023,65.83900226757369
December 2023,65.78863636363636
January 2024,65.77858176555716
February 2024,65.88345864661655
March 2024,66.0569105691057
April 2024,65.44220183486239
May 2024,65.31262798634812
June 2024,65.65251727541954
July 2024,65.53953488372093
August 2024,65.13146734520781
September 2024,65.82567049808429
October 2024,65.9939393939394
November 2024,65.50593824228028
December 2024,65.71044303797468
