month_year,db_a
January 2012,66.86666666666666
February 2012,66.01785714285714
March 2012,68.13658536585366
April 2012,67.62755102040816
May 2012,69.2034632034632
June 2012,68.80571428571429
July 2012,68.64102564102564
August 2012,68.978125
September 2012,68.62951807228916
October 2012,68.45533141210375
November 2012,67.71768707482993
December 2012,68.25830258302582
January 2013,67.60220994475138
February 2013,68.01898734177215
March 2013,67.2251655629139
April 2013,69.0045871559633
May 2013,69.78909090909092
June 2013,69.4927536231884
July 2013,69.47741935483872
August 2013,69.86149584487535
September 2013,68.83333333333333
October 2013,68.05263157894737
November 2013,67.35643564356435
December 2013,67.32126696832579
January 2014,66.65753424657534
February 2014,66.91836734693878
March 2014,67.2620320855615
April 2014,68.46491228070175
May 2014,68.35172413793103
June 2014,69.18250950570342
July 2014,69.2253086419753
August 2014,68.6431718061674
September 2014,68.7094017094017
October 2014,67.76502732240438
November 2014,66.828
December 2014,66.968
January 2015,66.3936170212766
February 2015,66.54098360655738
March 2015,67.14666666666666
April 2015,67.83574879227054
May 2015,68.22545454545454
June 2015,68.3109756097561
August 2015,73.14778325123153
September 2015,72.20224719101124
October 2015,70.8224043715847
November 2015,69.61486486486487
February 2016,69.34905660377359
March 2016,69.43820224719101
April 2017,72.3695652173913
May 2017,73.72459893048128
June 2017,74.08515815085158
July 2017,74.02564102564102
August 2017,72.8177874186551
September 2017,71.41785714285714
October 2017,70.5296875
November 2017,70.5049504950495
June 2020,73.04255319148936
July 2020,72.35036496350365
August 2020,70.82178217821782
September 2020,70.26612903225806
October 2020,70.95689655172414
November 2020,70.24299065420561
December 2020,69.63432835820896
January 2021,68.82022471910112
February 2021,70.6025641025641
March 2021,70.4040404040404
April 2021,72.14634146341463
May 2021,74.27619047619048
June 2021,74.21311475409836
July 2021,73.83625730994152
August 2021,73.87878787878788
September 2021,72.19217081850533
October 2021,71.748
November 2021,70.90128755364807
December 2021,70.60576923076923
January 2022,71.0091743119266
February 2022,72.91666666666667
March 2022,67.8695652173913
April 2022,70.21153846153847
May 2022,72.6510067114094
June 2022,77.73652694610779
July 2022,75.21296296296296
August 2022,72.55072463768116
September 2022,73.4367816091954
October 2022,72.0941475826972
November 2022,73.46268656716418
December 2022,79.9
January 2023,76.6
March 2023,75.0
April 2023,78.6
May 2023,75.0
June 2023,73.0
July 2023,79.875
August 2023,80.33333333333333
September 2023,83.625
October 2023,81.8
November 2023,75.66666666666667
December 2023,73.4
January 2024,75.0
April 2024,73.0
May 2024,72.25
June 2024,80.0
July 2024,81.22222222222223
August 2024,96.16666666666667
September 2024,87.5
October 2024,79.5
November 2024,70.5
December 2024,76.0
